osm_type,osm_id,name,name_en,name_ru,name_ky,elevation_m,lat,lon,prominence,wikidata,wikipedia,prominence_calc
node,274275911,Jengish Chokusu,Jengish Chokusu,Пик Победы,Жеңиш чокусу,7439,42.0350156,80.1295134,4145,Q332762,zh:托木尔峰,
node,2117818681,Обелиск,,Обелиск,Обелиск чокусу,7200,42.0383247,80.1071531,,,,332
node,2117690354,Khan Tengri,Khan Tengri,Хан-Тенгри,Хан-Теңири,7010,42.2108108,80.175012,1810,Q211529,ky:Хан-Теңири,1741
node,3541044736,聂鲁峰 Важа Пшавела,,,,6918,42.0450102,80.0808102,,,,82
node,2588407036,Military topographers peak,Military topographers peak,пик Военных Топографов,Аскер топографтары чокусу,6873,42.0537397,80.2497741,,Q20621898,ky:Аскер топографтары чокусу,1447
node,2117818451,Советской Армении,,Советской Армении,,6850,42.0350189,80.1508553,,,,160
node,2588407037,Военных Топографов Западная,,Военных Топографов Западная,,6816,42.0534353,80.2424883,,,,176
node,10223838596,Рапасова Западная,,Рапасова Западная,,6814,42.0657303,80.2840519,,,,609
node,10223838600,Рапасова,,,,6814,42.0625083,80.2946198,,,,
node,4547084709,Friendship peak,Friendship peak,пик Дружба,Достук чокусу,6800,42.1224247,80.2674895,,Q20625338,ky:Достук чокусу,735
node,12379337674,Chulebos,Chulebos,Кюэлебоси,,6769,42.2341752,80.3655643,,,,1465
node,2117818531,Восточный пик Победы,,Восточный пик Победы,,6762,42.0373737,80.198031,,,,306
node,12379337467,Рапасова Южная,,Рапасова Южная,,6747,42.0504312,80.2941792,,,,228
node,10223838611,Рапасова Центральная,,,,6710,42.0543475,80.2933324,,,,148
node,2117819222,Неру,,Неру,,6701,42.0491934,80.0441347,,,,213
node,2117690370,Eastern Shatyr,Eastern Shatyr,Восточный Шатёр,,6637,42.2192248,80.2507981,,,,1050
node,10223838586,Нагела,,Нагела,,6565,42.1058333,80.2613333,,,,254
node,2117818840,Памяти экипажа «Союза-10»,,,,6537,42.0416838,80.0057472,,,,371
node,10223838534,Погребецкого,,Погребецкого,,6527,42.1204887,80.2410346,,,,267
node,10223838501,Western Shatyr,Western Shatyr,Западный Шатёр,,6511,42.2166553,80.2285302,,,,227
node,12379337663,,,,,6480,42.2190868,80.4764306,,,,362
node,12379337671,,,,,6480,42.2274846,80.40591,,,,307
node,12379337669,,,,,6470,42.2263565,80.434953,,,,182
node,5605660290,пик Кашкар,,пик Кашкар,,6435,41.8861806,80.1344139,,,,1497
node,10223838588,Южное плечо пика Нагела,,,,6415,42.0967198,80.2591851,,,,129
node,10223838532,Погребецкого Центральная,,,,6410,42.1215833,80.23525,,,,44
node,12379337666,,,,,6390,42.2207632,80.4500484,,,,99
