osm_type,osm_id,name,name_en,name_fr,name_es,elevation_m,lat,lon,prominence,wikidata,wikipedia,prominence_calc
node,4252339778,Aneto,Aneto,Pic d'Anéto,Pico Aneto,3404,42.6310731,0.6566457,2812,Q208081,an:Tuca d'Aneto,
node,3014258688,Montorroio,,,,2862.4,42.503108,1.0311336,224,Q11937485,ca:Montorroio,
node,575756206,Tuc del Port de Caldes,,,,2783.0,42.6161557,0.8945431,247,Q17483766,ca:Tuc deth Pòrt,
node,5077510823,Pic del Racó Gros,,,,2781.7,42.4322132,2.1871239,215,Q31632368,,
node,2287924278,Pic d'Étang Faury,,,,2702,42.6218178,1.9119543,232,,,
node,252229931,Géougue d'Arre,,,,2619,42.917093,-0.3272334,266,,,
node,4340934040,Pic de Montareing,,Pic de Montareing,,2594,42.7200505,1.2166416,200,Q11941475,ca:Pic de Mariola,
node,6804703470,,,,,2428,42.7510396,1.1392235,234,,,
node,6034732106,Montcau,,,,1794.2,42.3014444,1.2602034,200,Q17482726,ca:Montcau (les Valls d'Aguilar),
,,Pico Luen,,,,1766,42.20305,1.95083,690,,,
node,4546856608,Cap de Plan-de-Riba,,,,1759.4,42.1912998,1.1577752,279,Q11912097,ca:Cap de Plan-de-riba,
,,Hp Sierra De Campanué,,,,1555,42.37555,0.35166,575,,,
,,L'Obiol (Hp Sierra De Milany),,,,1549,42.1575,2.30416,672,,,
node,575907090,Puig d'Estela,,,,1361,42.2016815,2.3469961,240,,,
node,8865958812,Puigmal,,,,2909.94,42.383266,2.1167871,,Q17477,en:Puigmal,1333
node,26864258,Pica d'Estats,,Pique d'Estats,Pica d'Estats,3143.45,42.666952,1.3978986,1264,Q1537733,es:Pica d'Estats,1276
node,26862740,Cotiella,,,,2912,42.5119837,0.3197771,1196,Q5790190,ca:Cotiella,1196
node,26864263,Pico de Posets,,Pic des Posets,Pico de Posets,3368.60,42.6546289,0.4352271,1131,Q282981,,1136
node,12407611203,Puig d'en Vidal,,,,2392,42.5452217,2.2315698,,,,1105
node,652132462,Collarada,,,Collarada,2883,42.7142215,-0.470631,800,Q960756,,1091
node,12386854307,Mailh d'Ilhoun,,,,1908,42.9551423,-0.6210706,,,,1044
node,6288254531,Iparla,,,,1044,43.2282304,-1.3783628,335,Q31641691,,
node,592426256,Bisaurín,,,Bisaurín,2670,42.788488,-0.640004,1040,Q2904601,,1039
node,626639517,Vignemale,,,,3298,42.773943,-0.1473437,1025,Q1348903,es:Pico Viñamala,1029
node,26862551,Beriain,,,,1493,42.888256,-1.9801879,,Q3756086,,1025
