osm_type,osm_id,name,name_en,name_fr,name_es,elevation_m,lat,lon,prominence,wikidata,wikipedia,prominence_calc
node,4252339778,Aneto,Aneto,Pic d'Anéto,Pico Aneto,3404,42.6310731,0.6566457,2812,Q208081,an:Tuca d'Aneto,
node,26864263,Pico de Posets,,Pic des Posets,Pico de Posets,3368.60,42.6546289,0.4352271,1131,Q282981,,1136
node,255545541,Pic Maudit,,Pic Maudit,,3354,42.639574,0.641336,,Q3110793,,171
node,5003473130,Aiguille Daviu,,Aiguille Daviu,,3350,42.6304122,0.655618,,,,49
node,948790896,Monte Perdido,,Mont Perdu,Monte Perdido,3349,42.6755485,0.0343568,971,Q215662,an:Punta de Treserols,980
node,1250020531,Pico del Medio,,Pic du Milieu,Pico del Medio,3349,42.6386072,0.6451899,,Q11941553,,104
node,5003473125,Espalda de Aneto,,Epaule de Aneto,Espalda de Aneto,3345,42.6293104,0.6596985,,Q17584188,an:Esquena de l'Aneto,76
node,5003473129,Aiguille Escudier,,Aiguille Escudier,,3340,42.6302501,0.6547218,,Q17584171,an:Agulla Baixa d'Aneto,80
node,7797043599,Aguja Schmidt-Endell,,,,3335,42.6398847,0.6409541,,,,101
node,1092109785,Cilindro de Marboré,,Cylindre du Marboré,Cilindro de Marboré,3325,42.6847945,0.0238657,251,Q507593,an:Mallo de Marmorés,264
node,5003215080,Mallo de la Lit / El Tuconet,,,,3311,42.6525327,0.4305682,,Q11953345,,81
node,2933054393,Punta Oliveras-Arenas,,Pointe Oliveras-Arenas,Punta Oliveras-Arenas,3302,42.6337629,0.6545126,,Q17584212,ca:Punta Oliveras,57
node,626639517,Vignemale,,,,3298,42.773943,-0.1473437,1025,Q1348903,es:Pico Viñamala,1029
node,623866271,Pico de Coronas,,Pic de Coronas,Pico de Coronas,3297,42.6371502,0.6493722,,Q11941468,an:Tuca de Corones,39
node,6880683513,Punta de la Lit,,,,3292,42.6518198,0.4291557,,,,57
node,4947558532,Pic Clot de la Hount,,,,3289,42.7731887,-0.1497252,,,,97
node,5003473132,Tuca Collado de Coronas,,Tuc del Collado de Coronas,Tuca Collado de Coronas,3286,42.6359083,0.6509936,,Q11953351,an:Tuca de la Collada de Corones,27
node,1241886631,Punta de la Brecha de Tempestades,,,Punta de la Brecha de Tempestades,3272,42.6272543,0.6615774,,Q17584183,an:Tuca de la Brecha de Tempestaz,66
