name,lat,lon,shop,brand,opening_hours,website,phone
Netto,43.3524001,-1.5499784,supermarket,Netto,Mo-Sa 08:30-19:30; Su 09:00-12:30,https://magasin.netto.fr/231-netto-gastelu,+33 5 59 54 59 59
Eroski,43.314179,-1.9005674,supermarket,Eroski,,,
Epicerie,42.9340436,-0.6350118,convenience,,"We-Sa 08:30-13:30, 15:00-18:30; Su 09:00-15:00",,
Le Petit Marché d'Aulus les Bains,42.7899158,1.3367008,convenience,,"Mo-Sa 08:00-13:00, 15:00-19:00; Su 08:00-13:00",,+33 6 87 24 08 76
Super Amara,43.3037933,-1.9777999,supermarket,,Mo-Su 09:00-21:00,https://www.superamara.com/,+34943461177
BM,43.3027584,-1.9799581,supermarket,BM,,,
,43.3048553,-1.9818306,convenience,,,,
Eroski,43.3229966,-1.9720182,supermarket,Eroski,,,
Supermercat Saint Moritz,42.5716368,1.4845445,supermarket,,,,
Supermercat Moles,42.5713942,1.4859614,supermarket,,Mo-Su 09:00-21:00,,
Carrefour Montagne,42.9066677,-0.1045588,convenience,Carrefour Montagne,Mo-Su 08:00-20:00,,
Juan Carlos Frutería,43.3037823,-1.9767042,greengrocer,,Mo-Su 08:30-20:30,,+34943475239
Super Adarra,43.3046446,-1.9771975,supermarket,,,,
La Pera,43.305105,-1.975364,greengrocer,,,,
BM,43.2492182,-1.991035,supermarket,BM,,,
La Huerta del País,43.3167505,-1.9311211,greengrocer,,,,
BM,43.3426629,-1.7978939,supermarket,BM,,,
BM,43.3395032,-1.7955943,supermarket,BM,,,
San Gabriel,43.3037555,-1.979063,greengrocer,,,,
Eroski,43.319579,-1.9195401,supermarket,Eroski,Mo-Sa 09:00-21:00,,
,43.3063281,-1.9759577,convenience,,,,
Todo Todo,43.3066275,-1.9733235,supermarket,,,,
Verami,43.3092704,-1.8814191,convenience,,,,
Ekolur,43.3092103,-1.8813214,convenience,,,,
Eroski,43.3113556,-1.8961443,supermarket,Eroski,Mo-Sa 09:00-21:00,,
Carrefour Express,42.4803929,3.1288681,supermarket,Carrefour Express,"Mo-Sa 07:00-20:00; Su 07:00-13:00, 16:00-20:00",https://www.carrefour.fr/magasin/express-banyuls,+33 4 68 88 19 52
