Total,82,,,,,Corbett,Height(m),(ft),Rank,Region Name,Num,Year First,Date,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
,222,,,,,Creagan na Beinne,889.1,2917,35,01A: Loch Tay to Perth,0,,,,,,,,,,,,,
,,,,,,Creag Uchdag,879,2884,50,01A: Loch Tay to Perth,0,,,,,,,,,,,,,
True total,104,,,,,Auchnafree Hill,787.4,2583,178,01A: Loch Tay to Perth,0,,,,,,,,,,,,,
,,,,,,Beinn Each,813,2667,135,01B: Strathyre to Strathallan,0,,,,,,,,,,,,,
,,,,,,Meall na Fearna,810,2657,139,01B: Strathyre to Strathallan,0,,,,,,,,,,,,,
,climbed,new,cumulative,,,Ben Ledi,879,2884,51,01C: Loch Lomond to Strathyre,2,2018,01/03/2018,02/03/2025,,,,,,,,,,
1997,0,0,0,0,,Stob a' Choin,869,2851,63,01C: Loch Lomond to Strathyre,1,2025,28/02/2025,,,,,,,,,,,
1998,0,0,0,0,,Meall an t-Seallaidh,852.7,2798,90,01C: Loch Lomond to Strathyre,1,2023,27/05/2023,,,,,,,,,,,
1999,0,0,0,0,,Benvane,821,2694,121,01C: Loch Lomond to Strathyre,0,,,,,,,,,,,,,
2000,0,0,0,0,,Creag Mac Ranaich,808.6,2653,144,01C: Loch Lomond to Strathyre,1,2023,26/05/2023,,,,,,,,,,,
2001,0,0,0,0,,Beinn Stacach [Ceann na Baintighearna] [Stob Fear-tomhais] [Beinn Stacath],771.8,2532,205,01C: Loch Lomond to Strathyre,0,,,,,,,,,,,,,
2002,0,0,0,0,,Beinn a' Choin,768.7,2522,210,01C: Loch Lomond to Strathyre,0,,,,,,,,,,,,,
2003,0,0,0,0,,The Cobbler [Ben Arthur],884,2900,43,01D: Inveraray to Crianlarich,4,2021,14/08/2021,27/04/2024,03/10/2024,09/03/2025,,,,,,,,
2004,0,0,0,0,,Beinn Chuirn,880,2887,48,01D: Inveraray to Crianlarich,1,2023,05/11/2023,,,,,,,,,,,
2005,0,0,0,0,,Beinn Luibhean,859.7,2821,77,01D: Inveraray to Crianlarich,2,2024,27/04/2024,03/10/2024,,,,,,,,,,
2006,0,0,0,0,,Stob Coire Creagach [Binnein an Fhidhleir],817.8,2683,128,01D: Inveraray to Crianlarich,0,,,,,,,,,,,,,
2007,0,0,0,0,,Meall an Fhudair,764,2507,218,01D: Inveraray to Crianlarich,0,,,,,,,,,,,,,
2008,0,0,0,0,,Meall Buidhe,908.4,2980,11,02A: Loch Rannoch to Glen Lyon,0,,,,,,,,,,,,,
2009,0,0,0,0,,Cam Chreag,862,2828,75,02A: Loch Rannoch to Glen Lyon,0,,,,,,,,,,,,,
2010,0,0,0,0,,Sron a' Choire Chnapanaich [Sron a' Choire Chnapanich],835,2740,111,02A: Loch Rannoch to Glen Lyon,0,,,,,,,,,,,,,
2011,0,0,0,0,,Beinn Dearg,830,2723,115,02A: Loch Rannoch to Glen Lyon,0,,,,,,,,,,,,,
2012,0,0,0,0,,Meall Tairneachan,787,2582,179,02A: Loch Rannoch to Glen Lyon,0,,,,,,,,,,,,,
2013,0,0,0,0,,Farragon Hill,782.4,2567,186,02A: Loch Rannoch to Glen Lyon,0,,,,,,,,,,,,,
2014,0,0,0,0,,Beinn nan Oighreag,909.6,2984,9,02B: Glen Lyon to Glen Dochart & Loch Tay,0,,,,,,,,,,,,,
2015,0,0,0,0,,Beinn Odhar,900.8,2955,22,02B: Glen Lyon to Glen Dochart & Loch Tay,1,2025,01/03/2025,,,,,,,,,,,
2016,0,0,0,0,,Beinn a' Chaisteil,886,2907,40,02B: Glen Lyon to Glen Dochart & Loch Tay,1,2025,01/03/2025,,,,,,,,,,,
2017,0,0,0,0,,Cam Chreag,883.6,2899,44,02B: Glen Lyon to Glen Dochart & Loch Tay,1,2025,01/03/2025,,,,,,,,,,,
2018,4,4,4,4,,Beinn nan Imirean,849,2785,91,02B: Glen Lyon to Glen Dochart & Loch Tay,0,,,,,,,,,,,,,
2019,5,5,9,9,,Beinn Chaorach,818,2684,125,02B: Glen Lyon to Glen Dochart & Loch Tay,1,2025,01/03/2025,,,,,,,,,,,
2020,1,1,10,10,,Beinn nam Fuaran,806,2644,149,02B: Glen Lyon to Glen Dochart & Loch Tay,1,2025,01/03/2025,,,,,,,,,,,
2021,6,5,15,16,,Meall nan Subh,806,2644,150,02B: Glen Lyon to Glen Dochart & Loch Tay,0,,,,,,,,,,,,,
2022,11,8,23,27,,Meall nam Maigheach,778.9,2555,192,02B: Glen Lyon to Glen Dochart & Loch Tay,0,,,,,,,,,,,,,
2023,13,11,34,40,,Garbh Bheinn,867,2844,67,03A: Loch Leven to Rannoch Station,0,,,,,,,,,,,,,
2024,29,23,57,69,,Beinn a' Chrulaiste,857,2812,82,03A: Loch Leven to Rannoch Station,0,,,,,,,,,,,,,
2025,33,23,80,102,,Beinn Maol Chaluim,906.3,2973,14,03B: Loch Linnhe to Loch Etive,0,,,,,,,,,,,,,
2026,2,2,82,104,,Fraochaidh,879,2884,52,03B: Loch Linnhe to Loch Etive,0,,,,,,,,,,,,,
,,,,,,Beinn Trilleachan,840,2756,106,03B: Loch Linnhe to Loch Etive,0,,,,,,,,,,,,,
,,,,,,Creach Bheinn,810,2657,140,03B: Loch Linnhe to Loch Etive,0,,,,,,,,,,,,,
,,,,,,Meall Lighiche,772,2533,204,03B: Loch Linnhe to Loch Etive,0,,,,,,,,,,,,,
,,,,,,Beinn a' Bhuiridh,898.4,2948,25,03C: Glen Etive to Glen Lochy,1,2024,13/10/2024,,,,,,,,,,,
,,,,,,Stob Dubh,883,2897,46,03C: Glen Etive to Glen Lochy,0,,,,,,,,,,,,,
,,,,,,Beinn Mhic Chasgaig,864,2835,69,03C: Glen Etive to Glen Lochy,0,,,,,,,,,,,,,
,,,,,,Beinn Udlaidh,840.4,2757,104,03C: Glen Etive to Glen Lochy,0,,,,,,,,,,,,,
,,,,,,Beinn Bhreac-liath,802,2631,156,03C: Glen Etive to Glen Lochy,0,,,,,,,,,,,,,
,,,,,,Beinn Mhic Mhonaidh,796,2612,165,03C: Glen Etive to Glen Lochy,0,,,,,,,,,,,,,
,,,,,,Leum Uilleim,906.5,2974,13,04A: Fort William to Loch Treig & Loch Leven,0,,,,,,,,,,,,,
,,,,,,Cruach Innse,857,2812,83,04A: Fort William to Loch Treig & Loch Leven,1,2026,09/03/2026,,,,,,,,,,,
,,,,,,Sgurr Innse,809,2654,142,04A: Fort William to Loch Treig & Loch Leven,1,2026,09/03/2026,,,,,,,,,,,
,,,,,,Mam na Gualainn,796,2612,166,04A: Fort William to Loch Treig & Loch Leven,0,,,,,,,,,,,,,
,,,,,,Glas Bheinn,792,2598,170,04A: Fort William to Loch Treig & Loch Leven,0,,,,,,,,,,,,,
,,,,,,The Fara,911.4,2990,7,04B: Loch Treig to Loch Ericht,1,2024,13/01/2024,,,,,,,,,,,
,,,,,,Beinn Pharlagain - Meall na Meoig [Meall na Meoig],867.3,2845,66,04B: Loch Treig to Loch Ericht,0,,,,,,,,,,,,,
,,,,,,Beinn a' Chuallaich,892.2,2927,32,05A: Loch Ericht to Glen Tromie & Glen Garry,0,,,,,,,,,,,,,
,,,,,,Stob an Aonaich Mhoir,855,2805,86,05A: Loch Ericht to Glen Tromie & Glen Garry,0,,,,,,,,,,,,,
,,,,,,Beinn Mholach,841.8,2762,101,05A: Loch Ericht to Glen Tromie & Glen Garry,0,,,,,,,,,,,,,
,,,,,,The Sow of Atholl [Meall an Dobharchain],798.9,2621,160,05A: Loch Ericht to Glen Tromie & Glen Garry,0,,,,,,,,,,,,,
,,,,,,Meall na Leitreach,777.1,2550,194,05A: Loch Ericht to Glen Tromie & Glen Garry,0,,,,,,,,,,,,,
,,,,,,An Dun,827.4,2715,118,05B: Loch Ericht to Glen Tromie & Glen Garry,0,,,,,,,,,,,,,
,,,,,,Beinn Bhreac,912.44,2994,5,06A: Glen Tromie to Glen Tilt,0,,,,,,,,,,,,,
,,,,,,Leathad an Taobhain,911.7,2991,6,06A: Glen Tromie to Glen Tilt,0,,,,,,,,,,,,,
,,,,,,Beinn Mheadhonach,900.9,2956,21,06A: Glen Tromie to Glen Tilt,2,2020,18/10/2020,15/01/2023,,,,,,,,,,
,,,,,,A' Chaoirnich [Maol Creag an Loch],875,2871,56,06A: Glen Tromie to Glen Tilt,0,,,,,,,,,,,,,
,,,,,,Carn Dearg Mor,857,2812,84,06A: Glen Tromie to Glen Tilt,0,,,,,,,,,,,,,
,,,,,,Meallach Mhor,769,2523,209,06A: Glen Tromie to Glen Tilt,0,,,,,,,,,,,,,
,,,,,,Ben Vuirich,903,2963,17,06B: Pitlochry to Braemar & Blairgowrie,1,2024,11/08/2024,,,,,,,,,,,
,,,,,,Morrone,859.5,2820,78,06B: Pitlochry to Braemar & Blairgowrie,1,2018,17/11/2018,,,,,,,,,,,
,,,,,,Ben Vrackie,842.2,2763,100,06B: Pitlochry to Braemar & Blairgowrie,3,2019,24/02/2019,27/02/2022,29/10/2022,,,,,,,,,
,,,,,,Ben Gulabin,806,2644,151,06B: Pitlochry to Braemar & Blairgowrie,1,2025,04/02/2025,,,,,,,,,,,
,,,,,,Conachcraig,865,2838,68,07A: Braemar to Montrose,0,,,,,,,,,,,,,
,,,,,,Creag nan Gabhar,834,2736,114,07A: Braemar to Montrose,1,2024,17/08/2024,,,,,,,,,,,
,,,,,,Monamenach,807,2648,148,07A: Braemar to Montrose,0,,,,,,,,,,,,,
,,,,,,Ben Tirran,897,2943,27,07B: Braemar to Montrose,0,,,,,,,,,,,,,
,,,,,,Mount Battock,778,2552,193,07B: Braemar to Montrose,0,,,,,,,,,,,,,
,,,,,,Sgor Mor,813,2667,136,08A: Cairngorms,0,,,,,,,,,,,,,
,,,,,,Meall a' Bhuachaille,810,2657,141,08A: Cairngorms,5,2018,27/05/2018,12/06/2022,04/02/2023,29/05/2024,25/12/2025,,,,,,,
,,,,,,Culardoch,900,2953,23,08B: Cairngorms,1,2024,18/08/2024,,,,,,,,,,,
,,,,,,Creag Mhor,895,2936,31,08B: Cairngorms,0,,,,,,,,,,,,,
,,,,,,Creag an Dail Bheag,863,2831,70,08B: Cairngorms,1,2024,18/08/2024,,,,,,,,,,,
,,,,,,Brown Cow Hill,829,2720,116,08B: Cairngorms,0,,,,,,,,,,,,,
,,,,,,Geal Charn,821,2694,122,08B: Cairngorms,0,,,,,,,,,,,,,
,,,,,,Carn na Drochaide,818,2684,126,08B: Cairngorms,1,2024,18/08/2024,,,,,,,,,,,
,,,,,,Carn Ealasaid,792,2598,171,08B: Cairngorms,0,,,,,,,,,,,,,
,,,,,,Gairbeinn,895.5,2938,30,09B: Glen Albyn and the Monadh Liath,0,,,,,,,,,,,,,
,,,,,,Carn an Fhreiceadain,878,2881,55,09B: Glen Albyn and the Monadh Liath,0,,,,,,,,,,,,,
,,,,,,Meall na h-Aisre,862.1,2828,74,09B: Glen Albyn and the Monadh Liath,0,,,,,,,,,,,,,
,,,,,,Geal-charn Mor,824,2703,120,09B: Glen Albyn and the Monadh Liath,0,,,,,,,,,,,,,
,,,,,,Carn a' Chuilinn,817,2680,129,09B: Glen Albyn and the Monadh Liath,0,,,,,,,,,,,,,
,,,,,,Carn Dearg,816.5,2679,130,09B: Glen Albyn and the Monadh Liath,0,,,,,,,,,,,,,
,,,,,,Carn na Saobhaidhe,811.1,2661,138,09B: Glen Albyn and the Monadh Liath,0,,,,,,,,,,,,,
,,,,,,Carn Dearg,768,2520,211,09B: Glen Albyn and the Monadh Liath,0,,,,,,,,,,,,,
