Jun 1st,,,1 effort =,Distance,1,,,Pace,Hours at pace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twilight start,3:35,,,Asc,125,,,5.25,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunrise,4:36,,,Desc,375,,,5.5,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar Max,13:18,,,,,,,6,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunset,22:00,,,,,,,6.5,4,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twilight end,23:02,,,,,,,7,20,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daylight time,17:24,,,,,,,8,0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,9,0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,10,0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,10,24,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cumulative,,,,,,,,,,,,Actual 2025,,,,,,,,Actual 2024,,,,,,,FW,,,,
Where,Hours,Time of day,,Dist,Asc,Desc,,Dist,Asc,Desc,Notes,,Effort,Min / effort,Mins,,,,,Mins,Cumulative,vs 2024,Hours,Diff,Cumulative,Min / effort,,Mins,Cumulative,Hours,Diff,Cumulative,Min / effort,,Cumulative,Mins,Diff vs me,FW min / effort,Ratio vs me
Lower Falls,,08:00,,0,,,,0,,,,,0.00,,0.0,0.0,,Lower Falls,,,0,,,,,,,,0,,,,,,0,,,,
River,0:58,08:58,0:58,8.00,345.61,82.39,,8,323,77,,,10.98,5.3,57.7,57.7,,River,,51,51,9,0:51,-6.67,-6.67,4.64,,60,60,1:00,2.33092,2.33,5.46,,39,39.0,12,3.55,1.54
Binnein Beag,0:38,09:36,1:35,2.10,636.65,3.21,,10.1,918,80,,,7.20,5.3,37.8,95.5,,Binnein Beag,,46,97,12,0:46,8.19,1.52,6.39,,49,109,0:49,11.19076,13.52,6.80,,69,30.0,19,4.17,1.63
Sgurr Eilide Mor,0:39,10:15,2:14,3.50,383.06,298.53,,13.6,1276,359,,,7.36,5.3,38.6,134.1,,Sgurr Eilide Mor,,43,140,17,0:43,4.36,5.88,5.84,,48,157,0:48,9.35706,22.88,6.52,,97,28.0,20,3.80,1.71
Binnein Mor,0:38,10:53,2:52,3.40,391.62,265.36,,17,1642,607,,,7.24,5.3,38.0,172.1,,Binnein Mor,,40,180,18,0:40,1.99,7.87,5.52,,41,198,0:41,2.98692,25.87,5.66,,122,25.0,16,3.45,1.64
Na Gruigaichean,0:17,11:10,3:10,1.80,119.84,211.86,,18.8,1754,805,,,3.32,5.3,17.4,189.6,,Na Gruigaichean,,18,198,21,0:18,0.55,8.42,5.42,,21,219,0:21,3.55068,29.42,6.32,,134,12.0,9,3.61,1.75
An Gearanach,0:36,11:46,3:46,3.30,321,379.85,,22.1,2054,1160,,,6.88,5.3,36.1,225.7,,An Gearanach,,41,239,28,0:41,4.88,13.29,5.96,,48,267,0:48,11.8751,41.29,6.98,,160,26.0,22,3.78,1.85
Stob Coire a Chairm,0:14,12:00,3:59,1.20,129.47,142.31,,23.3,2175,1293,,,2.62,5.3,13.7,239.4,,Stob Coire a Chairm,,18,257,30,0:18,4.27,17.56,6.88,,20,287,0:20,6.26992,47.56,7.65,,172,12.0,8,4.59,1.67
Am Bodach,0:22,12:22,4:22,1.70,256.8,182.97,,25,2415,1464,,,4.24,5.3,22.3,261.7,,Am Bodach,,24,281,30,0:24,1.73,19.29,5.66,,24,311,0:24,1.72782,49.29,5.66,,187,15.0,9,3.54,1.60
Sgurr a Mhaim,0:34,12:56,4:56,3.00,347.75,271.78,,28,2740,1718,,,6.51,5.3,34.2,295.9,,Sgurr a Mhaim,,39,320,33,0:39,4.84,24.13,5.99,,42,353,0:42,7.83958,57.13,6.45,,212,25.0,17,3.84,1.68
Stob Ban,0:37,13:33,5:33,3.40,308.16,422.65,,31.4,3028,2113,,,6.99,5.3,36.7,332.6,,Stob Ban,,39,359,40,0:39,2.29,26.42,5.58,,46,399,0:46,9.29018,66.42,6.58,,237,25.0,21,3.58,1.84
Mullach nan Coirean,0:30,14:03,6:03,3.30,217.21,267.5,,34.7,3231,2363,,,5.75,5.3,30.2,362.8,,Mullach nan Coirean,,31,390,44,0:31,0.81,27.23,5.39,,35,434,0:35,4.80718,71.23,6.09,,259,22.0,13,3.83,1.59
Lower Falls,0:30,14:33,6:33,3.30,0,928.76,,38,3231,3231,,,5.78,5.3,30.3,393.1,,Lower Falls,,31,421,51,0:31,0.67,27.90,5.37,,38,472,0:38,7.67236,78.90,6.58,,278,19.0,19,3.29,2.00
,6:33,,,38,3457.17,3457.17,,,,,,,74.88,,393.1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Calories,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hours,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per hour,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Weight,Cal,Num,,Total Weight,Total Cal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature Valley Salt,,,,30,139,6,,180,834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature Valley Protein,,,,40,198,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haribo,,,,100,349,1.75,,175,610.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolate,,,,100,500,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
