Mar 23rd,,,,,Target,13 hrs,,,,1 effort =,Distance,1,,Pace,Hours at pace,,,,,,,,,,,,,,,
Twilight start,5:30,,,,,,,,,,Asc,125,,6,0,0,,,,,,,,,,,,,,
Sunrise,6:09,,,,,,,,,,Desc,375,,6.5,4,4,,,,,,,,,,,,,,
Solar Max,12:23,,,,,,,,,,,,,7,16,20,,,,,,,,,,,,,,
Sunset,18:38,,,,,,,,,,,,,7.5,0,20,,,,,,,,,,,,,,
Twilight end,19:17,,,,,,,,,,,,,8,0,20,,,,,,,,,,,,,,
Daylight time,12:29,,,,,,,,,,,,,8.5,0,20,,,,,,,,,,,,,,
,,,,,,,,,,,,,,9,0,20,,,,,,,,,,,,,,
,,,,,,,,,,,,,,9.5,0,20,,,,,,,,,,,,,,
,,,,,,,,,,,,,,10,24,44,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Cumulative,,,,,,,,,,,,,,,Actual,,,,,,,,,,
Where,Dist,Asc,Desc,,Dist,Asc,Desc,Notes,,Effort,Min / effort,Mins,,Hours,,Time of day,,Water,Time at Water,Mins,Cumulative,Hours,Diff,Cumulative,Min / unit,,FW Mins,Diff,Ratio,Where
Dam,0,,,,0,,,,,0.00,,0.0,0.0,,,05:00,,,0,,0,,,,,,0,,,Dam
Toll Creagach,6.20,835,58,,6.2,835,58,,,13.03,6.5,84.7,84.7,1:25,1:25,06:25,,,,0,,0:00,-84.7253333333,-84.73,0.00,,55.5,29.23,1.5,Toll Creagach
Tom a Choinnich,3.20,255,197,,9.4,1090,255,,,5.77,6.5,37.5,122.2,0:37,2:02,07:02,,,,0,,0:00,-37.4746666667,-122.20,0.00,,23.1,14.37,1.6,Tom a Choinnich
Carn Eige,4.63,376,302,,14.03,1466,557,,,8.44,6.5,54.9,177.1,0:55,2:57,07:57,,,,0,,0:00,-54.8816666667,-177.08,0.00,,35.5,19.38,1.5,Carn Eige
Beinn Fionnlaidh,2.43,168,341,,16.46,1634,898,,,4.68,6.5,30.4,207.5,0:30,3:28,08:28,,off bealach to east,,0,,0:00,-30.4416666667,-207.52,0.00,,18.7,11.74,1.6,Beinn Fionnlaidh
Mam Sodhail,3.14,353,183,,19.6,1987,1081,,,6.45,6.5,41.9,249.5,0:42,4:09,09:09,,on traverse,3h45,0,,0:00,-41.938,-249.46,0.00,,28.5,13.44,1.5,Mam Sodhail
An Socach,4.37,227,490,,23.97,2214,1571,,,7.49,7.0,52.4,301.9,0:52,5:02,10:02,,,,0,,0:00,-52.4486666667,-301.91,0.00,,31.2,21.25,1.7,An Socach
Sgurr Nan Ceathreamhan,3.59,407,220,,27.56,2621,1791,,,7.43,7.0,52.0,353.9,0:52,5:54,10:54,,maybe some v near ridge,,0,,0:00,-52.0286666667,-353.94,0.00,,35.4,16.63,1.5,Sgurr Nan Ceathreamhan
Mullach na Dheiragain,4.34,232,370,,31.9,2853,2161,,,7.18,7.0,50.3,404.2,0:50,6:44,11:44,,,,0,,0:00,-50.2786666667,-404.22,0.00,,31.8,18.48,1.6,Mullach na Dheiragain
An Socach 2,8.83,867,767,,40.73,3720,2928,,,17.81,7.0,124.7,528.9,2:05,8:49,13:49,,River / streams,7h30,0,,0:00,-124.6793333333,-528.90,0.00,,82.1,42.58,1.5,An Socach 2
An Riabhachan,3.88,324,263,,44.61,4044,3191,,,7.17,7.0,50.2,579.1,0:50,9:39,14:39,,,,0,,0:00,-50.2133333333,-579.11,0.00,,37,13.21,1.4,An Riabhachan
Sgurr na Lapaich,3.27,351,318,,47.88,4395,3509,,,6.93,7.0,48.5,627.6,0:48,10:28,15:28,,to south of climb,,0,,0:00,-48.482,-627.59,0.00,,31.5,16.98,1.5,Sgurr na Lapaich
Carn nan Gobhar,2.33,192,361,,50.21,4587,3870,,,4.83,7.0,33.8,661.4,0:34,11:01,16:01,,,,0,,0:00,-33.8006666667,-661.39,0.00,,22.7,11.10,1.5,Carn nan Gobhar
Dam,5.58,41,758,,55.79,4628,4628,,,7.93,7.0,55.5,716.9,0:56,11:57,16:57,,on descent,,0,,0:00,-55.5053333333,-716.90,0.00,,27.6,32.81,2.4,Dam
,55.79,4628,4628,,,,,,,105.16,,716.9,,11:56,,,,,,,,,,,,,460.60,261.20,1.6,
