Total,282,,,,,Munro,Height(m),(ft),Rank,Region #,Region Name,Num,Year First,Date,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
,,,,,,Beinn Ime,1011,3317,118,100,Ben Lomond / Arrochar Alps,7,2021,14/08/2021,02/04/2023,28/05/2023,27/04/2024,03/10/2024,09/03/2025,28/06/2025,,,,,
,,,,,,Ben Lomond,974,3196,184,100,Ben Lomond / Arrochar Alps,1,2021,18/12/2021,,,,,,,,,,,
True total,711,,,,,Beinn Bhuidhe,948,3110,216,100,Ben Lomond / Arrochar Alps,1,2023,15/06/2023,,,,,,,,,,,
,,,,,,Ben Vorlich,943,3094,229,100,Ben Lomond / Arrochar Alps,6,2020,18/01/2020,02/04/2023,27/04/2024,03/10/2024,09/03/2025,28/06/2025,,,,,,
,,,,,,Beinn Narnain,927,3041,256,100,Ben Lomond / Arrochar Alps,7,2021,14/08/2021,02/04/2023,28/05/2023,27/04/2024,03/10/2024,09/03/2025,28/06/2025,,,,,
,climbed,new,cumulative,,,Ben Vane,916,3005,281,100,Ben Lomond / Arrochar Alps,6,2023,19/03/2023,02/04/2023,27/04/2024,03/10/2024,09/03/2025,28/06/2025,,,,,,
1997,1,1,1,1,,Ben More,1174,3852,16,101,Crianlarich,1,2019,28/09/2019,,,,,,,,,,,
1998,0,0,1,1,,Stob Binnein,1165,3822,18,101,Crianlarich,1,2019,28/09/2019,,,,,,,,,,,
1999,0,0,1,1,,Cruach Ardrain,1046,3432,85,101,Crianlarich,1,2022,15/01/2022,,,,,,,,,,,
2000,0,0,1,1,,An Caisteal,995,3264,147,101,Crianlarich,1,2019,20/01/2019,,,,,,,,,,,
2001,1,1,2,2,,Beinn Tulaichean,946,3104,220,101,Crianlarich,1,2022,15/01/2022,,,,,,,,,,,
2002,0,0,2,2,,Beinn a'Chroin,942,3091,231,101,Crianlarich,1,2019,20/01/2019,,,,,,,,,,,
2003,0,0,2,2,,Beinn Chabhair,933,3061,244,101,Crianlarich,1,2022,19/02/2022,,,,,,,,,,,
2004,0,0,2,2,,Ben Lui,1130,3707,27,102,Tyndrum,3,2019,03/08/2019,16/10/2021,15/03/2025,,,,,,,,,
2005,0,0,2,2,,Ben Oss,1029,3376,101,102,Tyndrum,3,2019,07/07/2019,16/10/2021,15/03/2025,,,,,,,,,
2006,3,3,5,5,,Beinn Dubhchraig,978,3209,175,102,Tyndrum,3,2019,01/02/2019,07/07/2019,15/03/2025,,,,,,,,,
2007,0,0,5,5,,Beinn a'Chleibh,916,3005,280,102,Tyndrum,2,2019,03/08/2019,15/03/2025,,,,,,,,,,
