ID,Fell Name,Height in feet,Latest Asc,Book no.,Book,No. in book,Ascents,Tick,,,
1,Scafell Pike,3210,2013,4,S,1,4,1,,,
2,Scafell,3156,2004,4,S,2,2,1,,Number of Ascents,324
3,Helvellyn,3118,2024,1,E,1,6,1,,Mountains Ascended,155
4,Skiddaw,3053,2003,5,N,1,2,1,,Mountains Left,59
5,Great End,2984,2003,4,S,3,2,1,,,
6,Bowfell,2960,2013,4,S,4,6,1,,,
7,Great Gable,2949,2008,7,W,1,3,1,,,
8,Pillar,2927,2008,7,W,2,3,1,,,
9,Nethermost Pike,2920,2024,1,E,2,4,1,,,
10,Catstycam,2917,2003,1,E,3,2,1,,,
11,Esk Pike,2903,2013,4,S,5,4,1,,,
12,Raise,2889,2005,1,E,4,3,1,,,
13,Fairfield,2863,2024,1,E,5,5,1,,,
14,Blencathra,2847,2024,5,N,2,4,1,,,
15,Skiddaw Little Man,2837,2015,5,N,3,2,1,,,
16,White Side,2832,2024,1,E,6,4,1,,,
17,Crinkle Crags,2816,2018,4,S,6,4,1,,,
18,Dollywaggon Pike,2810,2024,1,E,7,4,1,,,
19,Great Dodd,2807,2005,1,E,8,2,1,,,
20,Grasmoor,2791,2003,6,NW,1,2,1,,,
21,Stybarrow Dodd,2770,2005,1,E,9,2,1,,,
22,Scoat Fell,2760,2005,7,W,3,2,1,,,
23,St Sunday Crag,2756,2003,1,E,10,2,1,,,
24,Eel Crag,2749,2024,6,NW,2,4,1,,,
25,High Street,2718,2024,2,FE,1,6,1,,,
26,Red Pike (w),2707,2001,7,W,4,1,1,,,
27,Hart Crag,2698,2024,1,E,11,5,1,,,
28,Steeple,2687,2001,7,W,5,1,1,,,
29,Lingmell,2649,2003,4,S,7,2,1,,,
30,High Stile,2644,2001,7,W,6,1,1,,,
31,High Raise,2634,2003,2,FE,2,2,1,,,
32,Coniston Old Man,2633,2021,4,S,8,4,1,,,
34,Kirk Fell,2630,2008,7,W,7,3,1,,,
33,Swirl How,2630,2021,4,S,9,3,1,,,
35,Haycock,2618,2007,7,W,8,2,1,,,
36,Brim Fell,2611,2021,4,S,10,3,1,,,
37,Dove Crag,2603,2024,1,E,12,5,1,,,
38,Green Gable,2603,2008,7,W,9,2,1,,,
39,Grisedale Pike,2593,2024,6,NW,3,3,1,,,
40,Watsons Dodd,2584,2005,1,E,13,2,1,,,
41,Rampsgill Head,2581,2003,2,FE,3,2,1,,,
42,Great Carrs,2575,2021,4,S,11,2,1,,,
43,Allen Crags,2572,1997,4,S,12,1,1,,,
44,Thornthwaite Crag,2569,2024,2,FE,4,5,1,,,
45,Glaramara,2560,1997,4,S,13,1,1,,,
46,Kidsty Pike,2560,2003,2,FE,5,2,1,,,
47,Dow Crag,2555,2021,4,S,14,2,1,,,
48,Red Screes,2541,2024,1,E,14,2,1,,,
49,Harter Fell,2539,2005,2,FE,6,2,1,,,
50,Grey Friar,2536,2021,4,S,15,1,1,,,
51,Wandope,2533,2003,6,NW,4,2,1,,,
52,Sail,2530,2024,6,NW,5,4,1,,,
53,Hopegill Head,2525,2024,6,NW,6,3,1,,,
54,Great Rigg,2513,2016,1,E,15,3,1,,,
55,Caudale Moor,2502,2024,2,FE,7,3,1,,,
56,Wetherlam,2502,2021,4,S,16,3,1,,,
57,High Raise,2500,2004,3,C,1,3,1,,,
58,Slight Side,2499,2004,4,S,17,1,1,,,
59,Mardale Ill Bell,2496,2005,2,FE,8,3,1,,,
60,Hart Side,2481,2005,1,E,16,1,1,,,
61,Red Pike (b),2479,2001,7,W,10,1,1,,,
62,Ill Bell,2476,2005,2,FE,9,2,1,,,
63,Dale Head,2473,2003,6,NW,7,2,1,,,
64,High Crag,2443,2001,7,W,11,1,1,,,
65,Knott,2423,2024,2,FE,10,4,1,,,
66,Carl Side,2420,2003,5,N,4,2,1,,,
67,Robinson,2417,2003,6,NW,8,2,1,,,
68,Seat Sandal,2415,2006,1,E,17,2,1,,,
69,Sergeant Man,2414,2003,3,C,2,4,1,,,
70,Long Side,2405,2003,5,N,5,2,1,,,
71,Harrison Stickle,2403,2018,3,C,3,3,1,,,
72,Kentmere Pike,2397,2005,2,FE,11,2,1,,,
73,Hindscarth,2385,2003,6,NW,9,2,1,,,
74,Clough Head,2381,2005,1,E,18,2,1,,,
75,Ullscarf,2370,2004,3,C,4,1,1,,,
76,Froswick,2359,2005,2,FE,12,2,1,,,
77,Thunacar Knott,2351,2003,3,C,5,2,1,,,
78,Birkhouse Moor,2350,2008,1,E,19,2,1,,,
79,Brandreth,2344,2002,7,W,12,1,1,,,
80,Lonscale Fell,2344,2003,5,N,6,1,1,,,
81,Branstree,2333,,2,FE,13,,,,,
82,Knott,2329,,5,N,7,,,,,
83,Pike 'O' Stickle,2323,2018,3,C,6,3,1,,,
84,Whiteside,2317,2006,6,NW,10,2,1,,,
85,Yoke,2309,2005,2,FE,14,2,1,,,
86,Bowscale Fell,2306,1997,5,N,8,1,1,,,
87,Pike 'O' Blisco,2304,2005,4,S,18,1,1,,,
88,Caw Fell,2288,2005,7,W,13,2,1,,,
89,Pavey Ark,2288,2018,3,C,7,3,1,,,
90,Grey Knotts,2287,2002,7,W,14,1,1,,,
91,Gray Crag,2286,1998,2,FE,15,2,1,,,
92,Rest Dodd,2278,1997,2,FE,16,1,1,,,
93,Loft Crag,2270,2018,3,C,8,3,1,,,
94,Seatallan,2266,2007,7,W,15,1,1,,,
95,Great Calva,2265,,5,N,9,,,,,
96,Cold Pike,2259,2005,4,S,19,1,1,,,
97,Sheffield Pike,2232,2005,1,E,20,1,1,,,
98,Bannerdale Crags,2230,1997,5,N,10,1,1,,,
99,Ullock Pike,2230,2003,5,N,11,2,1,,,
100,Wether Hill,2210,1998,2,FE,17,1,1,,,
101,Scar Crags,2205,2024,6,NW,11,3,1,,,
102,Loadpot Hill,2201,,2,FE,18,,,,,
103,Bakestall,2189,,5,N,12,,,,,
104,Tarn Crag,2176,,2,FE,19,,,,,
105,Carrock Fell,2174,2008,5,N,13,1,1,,,
106,Whiteless Pike,2159,2001,6,NW,12,1,1,,,
107,High Pike,2157,2008,5,N,14,1,1,,,
108,High Pike,2155,2016,1,E,21,3,1,,,
109,Place Fell,2154,1997,2,FE,20,1,1,,,
110,High Spy,2143,2003,6,NW,13,2,1,,,
111,Selside Pike,2142,,2,FE,21,,,,,
112,Harter Fell,2140,1997,4,S,20,1,1,,,
113,Great Sca Fell,2131,,5,N,15,,,,,
114,Fleetwith Pike,2126,1997,7,W,16,1,1,,,
115,Base Brown,2120,1997,7,W,17,1,1,,,
116,Middle Dodd,2106,2003,1,E,22,1,1,,,
117,Rossett Pike,2106,2014,4,S,21,1,1,,,
118,Grey Crag,2093,,2,FE,22,,,,,
119,Little Hart Crag,2091,2003,1,E,23,1,1,,,
120,Starling Dodd,2085,,7,W,18,,,,,
121,Mungrisedale,2068,2005,5,N,16,1,1,,,
122,Yewbarrow,2058,2001,7,W,19,1,1,,,
123,Birks,2040,2003,1,E,24,1,1,,,
124,Causey Pike,2035,2024,6,NW,14,3,1,,,
125,Great Borne,2019,,7,W,20,,,,,
126,Hartsop Dodd,2018,1997,2,FE,23,1,1,,,
127,Heron Pike,2003,2016,1,E,25,3,1,,,
128,High Seat,1995,,3,C,9,,,,,
129,Illgill Head,1983,2005,4,S,22,1,1,,,
130,Seathwaite Fell,1970,2014,4,S,23,2,1,,,
131,Bleaberry Fell,1932,,3,C,10,,,,,
132,Shipman Knotts,1926,2005,2,FE,24,2,1,,,
133,Brae Fell,1920,,5,N,17,,,,,
134,Middle Fell,1908,2007,7,W,21,1,1,,,
135,Haystacks,1900,2008,7,W,22,2,1,,,
136,Maiden Moor,1887,2003,6,NW,15,2,1,,,
137,Nab,1887,,2,FE,25,,,,,
138,Blake Fell,1878,,7,W,23,,,,,
139,Sergeants Crag,1873,2004,3,C,11,1,1,,,
140,Hartsop above How,1870,2003,1,E,26,1,1,,,
141,Outerside,1863,2006,6,NW,16,3,1,,,
142,Ard Crags,1860,2003,6,NW,17,1,1,,,
143,Angletarn Pikes,1857,1997,2,FE,26,1,1,,,
144,Brock Crags,1842,,2,FE,27,,,,,
145,Lords Seat,1811,,6,NW,18,,,,,
146,Steel Fell,1811,1998,3,C,12,1,1,,,
147,Rosthwaite Fell,1807,,4,S,24,,,,,
148,Hard Knott,1803,,4,S,25,,,,,
149,Tarn Crag,1801,2000,3,C,13,1,1,,,
150,Knott Rigg,1790,2003,6,NW,19,1,1,,,
151,Blea Rigg,1776,2000,3,C,14,2,1,,,
152,Lank Rigg,1775,2007,7,W,24,1,1,,,
153,Meal Fell,1770,,5,N,18,,,,,
154,Calf Crag,1762,1998,3,C,15,1,1,,,
156,Whin Rigg,1755,2005,4,S,26,1,1,,,
157,Arthurs Pike,1747,,2,FE,28,,,,,
159,Gavel Fell,1720,,7,W,25,,,,,
158,Great Cockup,1720,,5,N,19,,,,,
159,Great Mell Fell,1760,,1,E,27,,,,,
160,Bonscale Fell,1718,,2,FE,29,,,,,
161,Crag Fell,1710,2005,7,W,26,2,1,,,
162,High Hartsop Dodd,1702,,1,E,28,,,,,
163,Whinlatter,1696,,6,NW,20,,,,,
164,Sallows,1691,,2,FE,30,,,,,
165,Souther Fell,1680,1997,5,N,20,1,1,,,
166,Mellbreak,1676,,7,W,27,,,,,
167,Broom Fell,1670,,6,NW,21,,,,,
168,High Tove,1665,,3,C,16,,,,,
169,Beda Fell,1664,,2,FE,31,,,,,
170,Hen Comb,1661,,7,W,28,,,,,
171,Little Mell Fell,1657,,1,E,29,,,,,
172,Low Pike,1657,2016,1,E,30,3,1,,,
173,Stone Arthur,1652,,1,E,31,,,,,
174,Eagle Fell,1650,2004,3,C,17,1,1,,,
175,Dodd,1612,,5,N,21,,,,,
176,Green Crag,1602,,4,S,27,,,,,
177,Wansfell,1597,1995,2,FE,32,1,1,,,
178,Grike,1596,2005,7,W,29,2,1,,,
179,Burnbank Fell,1580,,7,W,30,,,,,
180,Longlands Fell,1580,,5,N,22,,,,,
181,Gowbarrow Fell,1579,,1,E,32,,,,,
182,Armboth Fell,1570,,3,C,18,,,,,
183,Sour Howes,1568,,2,FE,33,,,,,
184,Barf,1536,,6,NW,22,,,,,
185,Lingmoor Fell,1530,,4,S,28,,,,,
186,Raven Crag,1520,,3,C,19,,,,,
187,Great Crag,1500,2004,3,C,20,1,1,,,
188,Barrow,1494,2006,6,NW,23,2,1,,,
189,Catbells,1481,2003,6,NW,24,2,1,,,
