leg_num,location,distance_km,ascent_m,descent_m
1,Youth Hostel,0,0,0
2,Mullach,7.22,957,21
3,Stob Ban,3.18,259,208
4,Sgurr a Mhaim,3.01,399,288
5,Am Bodach,2.84,263,337
6,Stob Coire a Chairn,1.65,184,249
7,An Gearanach,1.21,145,133
8,Na Gruigaichean,3.02,359,310
9,Binnein Mor,1.67,205,113
10,Binnein Beag,1.97,186,353
11,Sgurr Eilide Mor,3.10,360,317
12,River,5.33,4,666
13,Beinn Na Lap turn off,8.97,199,136
14,Beinn Na Lap,3.67,565,8
15,Chno Dearg,4.79,572,465
16,Stob Coire Sgriodan,2.89,144,212
17,Fersit Dam,3.25,19,761
18,Stob a' Choire Mheadhoin,5.71,875,1
19,Stob Coire Easian,1.10,150,149
20,River,2.36,26,706
21,Stob Ban 2,2.14,547,0
22,Stob Choire Claurigh,1.97,357,173
23,Stob Coire An Laoigh,3.02,167,225
24,Sgurr Choinnich Mor,2.03,173,197
25,Aonach Beag,3.96,544,385
26,Aonach Mor,1.79,138,148
27,Carn Mor Dearg,2.55,386,391
28,Ben Nevis,2.13,322,187
29,Youth Hostel,5.76,3,1369
